"","n","m","y","q","x","m_qy","xy_m","h","is_h_max","is_m_qy_min","is_xy_m_min"
"1",2,1,1,1,1,0,0,0,TRUE,TRUE,TRUE
"2",3,2,1,2,2,0,0,1.38629436111989,TRUE,TRUE,TRUE
"3",4,4,2,2,2,0,0,5.54517744447956,TRUE,TRUE,TRUE
"4",5,5,2,2,3,1,1,7.454719949364,TRUE,TRUE,TRUE
"5",5,6,2,3,3,0,0,10.7505568153683,TRUE,TRUE,TRUE
"6",6,6,2,3,3,0,0,10.7505568153683,TRUE,TRUE,TRUE
"7",6,7,2,3,4,1,1,12.9998973938436,TRUE,TRUE,TRUE
"8",6,8,2,4,4,0,0,16.6355323334387,TRUE,TRUE,TRUE
"9",6,9,3,3,3,0,0,19.775021196026,TRUE,TRUE,TRUE
"10",7,7,2,3,4,1,1,12.9998973938436,TRUE,TRUE,TRUE
"11",7,8,2,4,4,0,0,16.6355323334387,TRUE,TRUE,TRUE
"12",7,9,2,4,5,1,1,19.1375444511296,FALSE,FALSE,FALSE
"13",7,9,3,3,3,0,0,19.775021196026,TRUE,TRUE,TRUE
"14",7,10,2,5,5,0,0,23.0258509299405,TRUE,TRUE,TRUE
"15",7,10,3,3,4,1,2,22.0243617745012,FALSE,FALSE,FALSE
"16",7,11,3,3,4,2,1,25.6599967140963,TRUE,TRUE,TRUE
"17",7,12,3,4,4,0,0,29.818879797456,TRUE,TRUE,TRUE
"18",8,8,2,4,4,0,0,16.6355323334387,TRUE,TRUE,TRUE
"19",8,9,2,4,5,1,1,19.1375444511296,FALSE,FALSE,FALSE
"20",8,9,3,3,3,0,0,19.775021196026,TRUE,TRUE,TRUE
"21",8,10,2,5,5,0,0,23.0258509299405,TRUE,TRUE,TRUE
"22",8,10,3,3,4,1,2,22.0243617745012,FALSE,FALSE,FALSE
"23",8,11,2,5,6,1,1,25.7292181831383,TRUE,TRUE,TRUE
"24",8,11,3,3,4,2,1,25.6599967140963,FALSE,FALSE,TRUE
"25",8,12,2,6,6,0,0,29.818879797456,TRUE,TRUE,TRUE
"26",8,12,3,4,4,0,0,29.818879797456,TRUE,TRUE,TRUE
"27",8,13,3,4,5,1,2,32.3208919151469,TRUE,TRUE,TRUE
"28",8,14,3,4,5,2,1,36.2091983939578,TRUE,TRUE,TRUE
"29",8,15,3,5,5,0,0,40.6207530165332,TRUE,TRUE,TRUE
